Episode 1510/2500 | Avg Reward: -113.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1520/2500 | Avg Reward: -107.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1530/2500 | Avg Reward: -114.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1540/2500 | Avg Reward: -112.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1550/2500 | Avg Reward: -100.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1560/2500 | Avg Reward: -101.30 | Epsilon: 0.0100 | Buffer: 100000
Episode 1570/2500 | Avg Reward: -101.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1580/2500 | Avg Reward: -103.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1590/2500 | Avg Reward: -107.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1600/2500 | Avg Reward: -103.70 | Epsilon: 0.0100 | Buffer: 100000
Episode 1610/2500 | Avg Reward: -105.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1620/2500 | Avg Reward: -102.20 | Epsilon: 0.0100 | Buffer: 100000
Episode 1630/2500 | Avg Reward: -96.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1640/2500 | Avg Reward: -104.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1650/2500 | Avg Reward: -102.60 | Epsilon: 0.0100 | Buffer: 100000
Episode 1660/2500 | Avg Reward: -100.50 | Epsilon: 0.0100 | Buffer: 100000
Episode 1670/2500 | Avg Reward: -104.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1680/2500 | Avg Reward: -102.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1690/2500 | Avg Reward: -99.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1700/2500 | Avg Reward: -107.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1710/2500 | Avg Reward: -103.40 | Epsilon: 0.0100 | Buffer: 100000
Episode 1720/2500 | Avg Reward: -102.80 | Epsilon: 0.0100 | Buffer: 100000
Episode 1730/2500 | Avg Reward: -106.90 | Epsilon: 0.0100 | Buffer: 100000
Episode 1740/2500 | Avg Reward: -105.00 | Epsilon: 0.0100 | Buffer: 100000
Episode 1750/2500 | Avg Reward: -102.10 | Epsilon: 0.0100 | Buffer: 100000
Episode 1760/2500 | Avg Reward: -106.60 | Epsilon: 0.0100 | Buffer: 100000
