Episode 13600/20000 | Avg Reward: -163.55 | Epsilon: 0.0100 | States visited: 299
Episode 13700/20000 | Avg Reward: -155.45 | Epsilon: 0.0100 | States visited: 299
Episode 13800/20000 | Avg Reward: -156.77 | Epsilon: 0.0100 | States visited: 299
Episode 13900/20000 | Avg Reward: -156.55 | Epsilon: 0.0100 | States visited: 299
Episode 14000/20000 | Avg Reward: -159.85 | Epsilon: 0.0100 | States visited: 299
Episode 14100/20000 | Avg Reward: -159.93 | Epsilon: 0.0100 | States visited: 299
Episode 14200/20000 | Avg Reward: -153.33 | Epsilon: 0.0100 | States visited: 299
Episode 14300/20000 | Avg Reward: -153.73 | Epsilon: 0.0100 | States visited: 299
Episode 14400/20000 | Avg Reward: -151.88 | Epsilon: 0.0100 | States visited: 299
Episode 14500/20000 | Avg Reward: -152.47 | Epsilon: 0.0100 | States visited: 299
Episode 14600/20000 | Avg Reward: -151.66 | Epsilon: 0.0100 | States visited: 299
Episode 14700/20000 | Avg Reward: -149.48 | Epsilon: 0.0100 | States visited: 299
Episode 14800/20000 | Avg Reward: -150.60 | Epsilon: 0.0100 | States visited: 299
Episode 14900/20000 | Avg Reward: -151.45 | Epsilon: 0.0100 | States visited: 299
Episode 15000/20000 | Avg Reward: -155.12 | Epsilon: 0.0100 | States visited: 299
Episode 15100/20000 | Avg Reward: -159.17 | Epsilon: 0.0100 | States visited: 299
Episode 15200/20000 | Avg Reward: -156.74 | Epsilon: 0.0100 | States visited: 299
Episode 15300/20000 | Avg Reward: -163.62 | Epsilon: 0.0100 | States visited: 299
Episode 15400/20000 | Avg Reward: -168.06 | Epsilon: 0.0100 | States visited: 299
Episode 15500/20000 | Avg Reward: -171.21 | Epsilon: 0.0100 | States visited: 299
Episode 15600/20000 | Avg Reward: -162.72 | Epsilon: 0.0100 | States visited: 299
Episode 15700/20000 | Avg Reward: -166.97 | Epsilon: 0.0100 | States visited: 299
Episode 15800/20000 | Avg Reward: -164.63 | Epsilon: 0.0100 | States visited: 299
Episode 15900/20000 | Avg Reward: -164.68 | Epsilon: 0.0100 | States visited: 299
Episode 16000/20000 | Avg Reward: -152.85 | Epsilon: 0.0100 | States visited: 299
Episode 16100/20000 | Avg Reward: -149.67 | Epsilon: 0.0100 | States visited: 299
Episode 16200/20000 | Avg Reward: -148.57 | Epsilon: 0.0100 | States visited: 299
Episode 16300/20000 | Avg Reward: -147.42 | Epsilon: 0.0100 | States visited: 299
Episode 16400/20000 | Avg Reward: -150.83 | Epsilon: 0.0100 | States visited: 299
Episode 16500/20000 | Avg Reward: -144.08 | Epsilon: 0.0100 | States visited: 299
Episode 16600/20000 | Avg Reward: -142.69 | Epsilon: 0.0100 | States visited: 299
Episode 16700/20000 | Avg Reward: -148.59 | Epsilon: 0.0100 | States visited: 299
Episode 16800/20000 | Avg Reward: -152.36 | Epsilon: 0.0100 | States visited: 299
Episode 16900/20000 | Avg Reward: -154.42 | Epsilon: 0.0100 | States visited: 299
Episode 17000/20000 | Avg Reward: -157.53 | Epsilon: 0.0100 | States visited: 299
Episode 17100/20000 | Avg Reward: -154.46 | Epsilon: 0.0100 | States visited: 299
Episode 17200/20000 | Avg Reward: -158.31 | Epsilon: 0.0100 | States visited: 299
Episode 17300/20000 | Avg Reward: -162.71 | Epsilon: 0.0100 | States visited: 299
Episode 17400/20000 | Avg Reward: -164.92 | Epsilon: 0.0100 | States visited: 299
Episode 17500/20000 | Avg Reward: -163.08 | Epsilon: 0.0100 | States visited: 299
Episode 17600/20000 | Avg Reward: -165.55 | Epsilon: 0.0100 | States visited: 299
Episode 17700/20000 | Avg Reward: -159.59 | Epsilon: 0.0100 | States visited: 299
Episode 17800/20000 | Avg Reward: -163.25 | Epsilon: 0.0100 | States visited: 299
Episode 17900/20000 | Avg Reward: -170.42 | Epsilon: 0.0100 | States visited: 299
Episode 18000/20000 | Avg Reward: -166.74 | Epsilon: 0.0100 | States visited: 299
Episode 18100/20000 | Avg Reward: -167.87 | Epsilon: 0.0100 | States visited: 299
Episode 18200/20000 | Avg Reward: -165.78 | Epsilon: 0.0100 | States visited: 299
Episode 18300/20000 | Avg Reward: -168.16 | Epsilon: 0.0100 | States visited: 299
Episode 18400/20000 | Avg Reward: -168.85 | Epsilon: 0.0100 | States visited: 299
Episode 18500/20000 | Avg Reward: -170.60 | Epsilon: 0.0100 | States visited: 299
Episode 18600/20000 | Avg Reward: -158.70 | Epsilon: 0.0100 | States visited: 299
Episode 18700/20000 | Avg Reward: -152.48 | Epsilon: 0.0100 | States visited: 299
Episode 18800/20000 | Avg Reward: -158.53 | Epsilon: 0.0100 | States visited: 299
Episode 18900/20000 | Avg Reward: -165.89 | Epsilon: 0.0100 | States visited: 299
Episode 19000/20000 | Avg Reward: -156.77 | Epsilon: 0.0100 | States visited: 299
Episode 19100/20000 | Avg Reward: -151.69 | Epsilon: 0.0100 | States visited: 299
Episode 19200/20000 | Avg Reward: -145.12 | Epsilon: 0.0100 | States visited: 299
Episode 19300/20000 | Avg Reward: -143.64 | Epsilon: 0.0100 | States visited: 299
Episode 19400/20000 | Avg Reward: -142.64 | Epsilon: 0.0100 | States visited: 299
Episode 19500/20000 | Avg Reward: -142.60 | Epsilon: 0.0100 | States visited: 299
Episode 19600/20000 | Avg Reward: -141.80 | Epsilon: 0.0100 | States visited: 299
Episode 19700/20000 | Avg Reward: -143.71 | Epsilon: 0.0100 | States visited: 299
Episode 19800/20000 | Avg Reward: -145.17 | Epsilon: 0.0100 | States visited: 299
Episode 19900/20000 | Avg Reward: -144.97 | Epsilon: 0.0100 | States visited: 299
Episode 20000/20000 | Avg Reward: -144.08 | Epsilon: 0.0100 | States visited: 299
Saved Q-Learning agent to saves/qlearning_mountaincar.pkl
Training complete.
